filename,signal_type,ir_type,duration_s,sample_rate,rms_db
dry_sine_440.wav,sine_440,none,2.0,44100,-4.95
wet_sine_440_small_room.wav,sine_440,small_room,2.0,44100,-9.01
wet_sine_440_large_hall.wav,sine_440,large_hall,2.0,44100,-5.78
wet_sine_440_plate.wav,sine_440,plate,2.0,44100,-6.32
wet_sine_440_spring.wav,sine_440,spring,2.0,44100,-6.88
wet_sine_440_cathedral.wav,sine_440,cathedral,2.0,44100,-5.64
dry_sine_880.wav,sine_880,none,2.0,44100,-4.95
wet_sine_880_small_room.wav,sine_880,small_room,2.0,44100,-6.9
wet_sine_880_large_hall.wav,sine_880,large_hall,2.0,44100,-5.09
wet_sine_880_plate.wav,sine_880,plate,2.0,44100,-4.7
wet_sine_880_spring.wav,sine_880,spring,2.0,44100,-11.6
wet_sine_880_cathedral.wav,sine_880,cathedral,2.0,44100,-6.54
dry_sawtooth.wav,sawtooth,none,2.0,44100,-9.18
wet_sawtooth_small_room.wav,sawtooth,small_room,2.0,44100,-8.8
wet_sawtooth_large_hall.wav,sawtooth,large_hall,2.0,44100,-9.19
wet_sawtooth_plate.wav,sawtooth,plate,2.0,44100,-10.73
wet_sawtooth_spring.wav,sawtooth,spring,2.0,44100,-10.59
wet_sawtooth_cathedral.wav,sawtooth,cathedral,2.0,44100,-7.71
dry_square.wav,square,none,2.0,44100,-4.57
wet_square_small_room.wav,square,small_room,2.0,44100,-7.62
wet_square_large_hall.wav,square,large_hall,2.0,44100,-7.05
wet_square_plate.wav,square,plate,2.0,44100,-10.64
wet_square_spring.wav,square,spring,2.0,44100,-10.48
wet_square_cathedral.wav,square,cathedral,2.0,44100,-7.39
dry_triangle.wav,triangle,none,2.0,44100,-7.79
wet_triangle_small_room.wav,triangle,small_room,2.0,44100,-4.84
wet_triangle_large_hall.wav,triangle,large_hall,2.0,44100,-5.84
wet_triangle_plate.wav,triangle,plate,2.0,44100,-5.71
wet_triangle_spring.wav,triangle,spring,2.0,44100,-7.68
wet_triangle_cathedral.wav,triangle,cathedral,2.0,44100,-7.16
dry_white_noise.wav,white_noise,none,2.0,44100,-6.02
wet_white_noise_small_room.wav,white_noise,small_room,2.0,44100,-13.69
wet_white_noise_large_hall.wav,white_noise,large_hall,2.0,44100,-14.54
wet_white_noise_plate.wav,white_noise,plate,2.0,44100,-14.35
wet_white_noise_spring.wav,white_noise,spring,2.0,44100,-13.69
wet_white_noise_cathedral.wav,white_noise,cathedral,2.0,44100,-14.3
dry_pink_noise.wav,pink_noise,none,2.0,44100,-17.66
wet_pink_noise_small_room.wav,pink_noise,small_room,2.0,44100,-13.58
wet_pink_noise_large_hall.wav,pink_noise,large_hall,2.0,44100,-13.92
wet_pink_noise_plate.wav,pink_noise,plate,2.0,44100,-14.09
wet_pink_noise_spring.wav,pink_noise,spring,2.0,44100,-14.68
wet_pink_noise_cathedral.wav,pink_noise,cathedral,2.0,44100,-14.55
dry_chirp_lin.wav,chirp_lin,none,2.0,44100,-4.95
wet_chirp_lin_small_room.wav,chirp_lin,small_room,2.0,44100,-14.65
wet_chirp_lin_large_hall.wav,chirp_lin,large_hall,2.0,44100,-13.04
wet_chirp_lin_plate.wav,chirp_lin,plate,2.0,44100,-13.57
wet_chirp_lin_spring.wav,chirp_lin,spring,2.0,44100,-14.69
wet_chirp_lin_cathedral.wav,chirp_lin,cathedral,2.0,44100,-13.4
dry_drum_hit.wav,drum_hit,none,0.5,44100,-23.2
wet_drum_hit_small_room.wav,drum_hit,small_room,0.5,44100,-22.43
wet_drum_hit_large_hall.wav,drum_hit,large_hall,0.5,44100,-15.88
wet_drum_hit_plate.wav,drum_hit,plate,0.5,44100,-17.43
wet_drum_hit_spring.wav,drum_hit,spring,0.5,44100,-16.0
wet_drum_hit_cathedral.wav,drum_hit,cathedral,0.5,44100,-13.5
dry_synth_pad.wav,synth_pad,none,2.0,44100,-15.58
wet_synth_pad_small_room.wav,synth_pad,small_room,2.0,44100,-12.85
wet_synth_pad_large_hall.wav,synth_pad,large_hall,2.0,44100,-12.41
wet_synth_pad_plate.wav,synth_pad,plate,2.0,44100,-9.13
wet_synth_pad_spring.wav,synth_pad,spring,2.0,44100,-11.6
wet_synth_pad_cathedral.wav,synth_pad,cathedral,2.0,44100,-11.61
